,Bleu_1,Bleu_2,Bleu_3,Bleu_4,CIDEr,METEOR,ROUGE_L,cand,ref
0,0.10054800689529111,1.8834367328164813e-09,5.092963826247476e-12,2.686496413383618e-13,0.008911077342398812,0.04236006051437216,0.12135278514588858,the heart and lungs have xxxx xxxx in the interval both lungs are clear and expanded heart and mediastinum normal,[u'heart size and pulmonary vascular engorgement appear within limits of normal mediastinal contour is unremarkable no focal consolidation pleural effusion or pneumothorax identified no acute bony changes .']
1,0.2593377363833148,0.1076841338106136,0.06451346629357807,8.960830715429e-06,0.00823692200613181,0.1173265675578694,0.2123585726718886,the cardiomediastinal silhouette is within normal limits for size and contour the lungs are normally inflated without evidence of focal airspace disease pleural effusion or pneumothorax no acute bone abnormality,[u'heart size is normal the lungs are clear there are no focal air space consolidations no pleural effusions or pneumothoraces calcified right upper lobe pulmonary granuloma and calcified right hilar lymph xxxx the hilar and mediastinal contours are normal normal pulmonary vascularity .']
2,0.048950703328481046,1.1304680697464464e-09,3.294168646040979e-12,1.811489264702386e-13,0.0004355068648876874,0.05070718284163792,0.08047493403693931,cardiac and mediastinal contours are within normal limits the lungs are clear bony structures are intact,[u'heart size and pulmonary vascularity normal there is a small right pleural effusion there is infrahilar interstitial prominence which may represent bronchovascular crowding lung small left pleural effusion no pneumothorax .']
3,0.4061711923776261,0.21648997294462546,0.12344345237119674,1.6761368901091292e-05,0.19023951528165137,0.20292380988769185,0.30557294927989986,the heart size and pulmonary vascularity appear within normal limits the lungs are free of focal airspace disease no pleural effusion or pneumothorax is seen,[u'the cardiac silhouette is borderline enlarged otherwise there is no focal opacity mediastinal contours are within normal limits there is no large pleural effusion no pneumothorax .']
4,0.38963847548148295,0.23051323075110125,1.3648730075018527e-06,3.3663612006079702e-09,0.20956040372996118,0.19953622765413973,0.360679970436068,heart size is normal no focal airspace disease is seen no pneumothorax or pleural effusion there are no acute bony findings,[u'normal heart size hyperexpanded lungs without focal consolidation pneumothorax or large pleural effusion left nipple silhouette visualized negative for acute bone abnormality .']
5,0.2424987689351621,0.16039785896024764,0.11990504548099748,0.09495205381534688,0.004833961003716677,0.13000232233387823,0.3478486262312079,normal heart size and mediastinal contours the lungs are clear there is no pneumothorax or pleural effusion the xxxx are unremarkable,[u'the heart is normal in size and contour there is focal airspace disease in the right middle lobe there is no pneumothorax or effusion focal airspace disease in the right middle lobe this is most concerning for pneumonia .']
6,0.25641025640368187,0.11616917255653597,7.144853954819221e-07,1.7841008157179387e-09,0.005545905232451609,0.16307433411737196,0.26536160957041877,the heart is normal in size the mediastinum is unremarkable there is xxxx opacity in the left upper lobe the pulmonary xxxx are grossly normal there is no pneumothorax or pleural effusion there are no focal areas of consolidation,[u'low lung volumes heart size normal no pneumothorax pleural effusion or focal airspace disease bony structures appear intact left humeral head bone anchors .']
7,0.27083333332769105,0.16974114626800244,0.08556026937263805,1.0861779420621467e-05,5.499895899902477e-06,0.25284104995450785,0.3237791932059448,the heart size is normal the mediastinal contour is within normal limits the lungs are free of any focal infiltrates there are no nodules or masses no visible pneumothorax no visible pleural fluid the xxxx are grossly normal there is no visible free intraperitoneal air under the diaphragm,[u'heart size normal lungs are clear xxxx are normal no pneumonia effusions edema pneumothorax adenopathy nodules or masses .']
8,0.10976232720782911,1.780580070625037e-09,4.5894214454568204e-12,2.36353508168127e-13,0.0035248901658113422,0.05361930294906167,0.1476997578692494,the heart and lungs have xxxx xxxx in the interval both lungs are clear and expanded heart and mediastinum normal,[u'feeding tube noted with tip xxxx distal to the gastroesophageal junction no focal areas of consolidation heart size within normal limits no pleural effusions osseous structures intact no acute cardiopulmonary abnormality .']
9,0.1540251356995093,0.09044667399619587,0.05313318363674228,7.308041827675061e-06,0.00038179609779815375,0.10187115823253495,0.1674509803921569,the heart size and mediastinal contours appear within normal limits right lower lobe airspace opacities consistent with pleural effusion no pneumothorax no acute bony abnormalities stable mild chronic granulomatous disease,[u'cardiomediastinal silhouettes are within normal limits the there is a diffuse reticulonodular pattern the lungs bilaterally pulmonary vasculature is within normal limits negative for pneumothorax or large pleural effusion bony thorax is unremarkable diffuse reticulonodular pattern bilaterally the this may represent heart failure opportunistic infection or idiopathic interstitial pneumonitis .']
